name,type1,type2,hp,atk,def,spatk,spdef,speed,title,description1,description2,forms,ability1,ability2,abilityh,sigmove
Decaffin,Grass,,41,47,70,76,35,60,Coffee Bean,"Decaffin is lethargic, absorbing solar radiation to fuel internal chemical synthesis. Extracts from this Pokemon act as a powerful sedative.","It's full of a bitter-tasting extract to deter predators, but humans have found a way to turn this extract into a popular drink instead.",,Damp,,Grassy Surge,
Espressurge,Grass,Electric,68,76,85,118,56,112,Coffee Bean,"Its nervous system fires at impossible speeds. It vibrates constantly, and this energy can be used to attack if need be.","Its body crackles with electricity, charged by the natural compounds in its coffee-like seeds. Trainers who drink its brewed essence report feeling invincible for hours.",,Caffeine Rush,,Grassy Surge,
Grubblo,Bug,Normal,40,30,30,20,40,30,Sad Clown,"Grubblo are mute, and instead communicate through the lights in their eyes, which they can control.","It feeds on the positive emotions of others. If it spots a crying child, it will perform slapstick routines until they smile.",,Shield Dust,Prankster,Soundproof,
Tentrilo,Bug,Normal,70,45,75,45,90,35,Big Top,"Its body is full of air, causing weaker attacks to bounce off of it. It can inflate itself more to float away in short bursts.","A born entertainer, it will attempt to engage apex predators in games of tag, often oblivious to the mortal danger it is in.",,Shield Dust,Prankster,Soundproof,
Rocadocio,Bug,Normal,85,87,54,50,64,94,Showman,"Rocadocio constantly fight for the attention of other pokemon. The more eyes that are on Rocadocio, the more powerful it feels.","Its hypnotic moves and lights can daze others, making them feel like they're in a trance.",,Shield Dust,Prankster,Soundproof,Final Act
Nokoi,Water,,51,60,41,35,62,63,Koi Fish,This Pokemon secretes an ink-like liquid from its tail. It communicates with other Nokoi by painting patterns in the water.,"They love to paint their scales with patterns, and their diet and environment can change the color of their ink.",,Swift Swim,,Own Tempo,
Yakoyza,Water,Fighting|Dark|Dragon|Fire,78,119,78,72,85,98,Inked,"Despite being the same species, this Pokemon will ruthlessly bully other Yakoyza that have different markings.",Their markings signify their tribe and territory. They also make for very popular tattoo designs.,Tiger|Ink|Ryujin|Oni,Swift Swim,,Reckless,Power Scale
Ribbeat,Fighting,,103,62,24,35,67,59,Cardiovascular,"Its tail is actually a tube that sucks in water. In lieu of blood, Ribbeat uses this water to keep its heart pumping.",The bubble around its head is actually hard like glass and protects Ribbeat when it is out of water. ,,Limber,Regenerator,Swift Swim,
Ventribbit,Fighting,,144,119,31,45,94,77,Cardiovascular,"In combat, its heart rate accelerates to dangerous levels. It synchronizes its punches with its heartbeat for devastating rhythmic combos.","Its skin possesses the properties of tempered glass. While durable, a precise strike to a stress point can cause its entire body to crack.",,Iron Fist,Regenerator,Swift Swim,Adrenalizer
Mochu,Ice,Electric,47,54,32,68,38,86,Snow Bunny,"They forage for snow radishes buried under the snow. When startled, they will release a quick electric jolt before burrowing away.",People like to make little Mochu sculptures made of snow in the wintertime. This led to many wintertime cakes and sweets made in their shape as well.,,Adaptability,,Volt Absorb,
Snochu,Ice,Electric,64,72,55,105,59,124,Daikon,Their footpads are hardened enough to allow them to skate effortlessly over ice. The fur over their mouths is adjustable and very insulating.,"They dance to help charge electricity stored in their cheek pouches. The colder it is, the easier it is to build up a charge.",,Adaptability,,Volt Absorb,Tundra Tango
Murkitty,Dark,,69, 77,36,20,36,62,Lazy,It is theorized that the only reason Murkitty have survived in the wild is because of their natural camouflage and propensity for staying still. It is terrible in Pokemon battles.,They make for a popular house-pet due to their laziness and disdain for activity.,,Gluttony,,Unnerve,
Tammalkin,Dark,Fighting,78,111,42,35,42,95,Grimalkin,Lean muscle and shadow-absorbing fur allow it to move unseen. It can navigate the densest jungle without disturbing a single leaf.,"They can see in the dark, and prefer to be active at night. It is strikingly silent when it moves.",,Hunter's Instincts,,Unnerve,
Velyger,Dark,Fighting,89,145,56,59,56,115,Apex Hunter,"Its foreclaws are retractable, and are Velyger's weapon of choice. It roams the jungle at night, ambushing prey and defeating them in one silent strike.","Its coat absorbs 99% of light, rendering it invisible at night. The orange stripes only glow the moment it commits to a kill.",,Hunter's Instincts,,Unnerve,
Lileef,Grass,,66,41,77,61,87,23,Land Lily,This Pokemon's DNA bears a striking similarity to an ancient Pokemon from Hoenn.,"It wanders throughout the forest, trying to lure in prey with the sweet smell of berries.",,Suction Cups,,Harvest,
Citradily,Grass,,86,81,97,81,107,43,Citrus,"Its saliva pH shifts based on its diet, ranging from sticky adhesive to metal-melting acid.","They pretend to be regular berry trees, ambushing unsuspecting pokemon and melting them with their acidic saliva.",,Suction Cups,,Harvest,Zest Spray
Krabuto,Water,Steel,30,80,90,55,45,55,Shell Crab,"They scuttle along beaches, where many people stub their toes on their dense metal plating.",This Pokemon's DNA bears a striking similarity to an ancient Pokemon from Kanto.,,Swift Swim,,Sharpness,
Krabutops,Water,Steel,60,115,105,65,70,80,Shell Crab,They fastidiously maintain and sharpen their blades. It is considered shameful to Krabutops to have blades that are dull or chipped.,"They get into territorial conflicts with Golisopod, where some of their conflicts can last up to a century.",,Swift Swim,,Sharpness,Bushido Flurry
Filch,Normal,Dark,50,50,50,50,50,110,Bandersnatch,"They like to live in the floorboards of old homes. If you believe you regularly misplace items, it could be because of a Filch infestation.","Their fur has a strange property where it can house more items than physically possible. It cannot house living creatures, however.",,Hoarder,,,
Dodon,Rock,Ground,42,77,53,45,72,66,Dodo,This Pokemon was hunted to extinction by humans. It took many decades of scientific work to remediate this.,Dodon are completely flightless and actually use their wings as bludgeons instead.,,Strong Jaw,,Flightless,
Dodonodon,Rock,Ground,59,128,68,53,103,85,Dodo,"Despite their bulk, they are startlingly fast. It is a common misconception to assume Dodonodon are clumsy or stupid due to how they went extinct.",Archaeologists thought that ancient pottery depicting Dodonodon were highly stylized. It wasn't until the fossil Pokemon was restored where they realized the depictions were extremely accurate.,,Strong Jaw,,Flightless,
Tuatot,Rock,Psychic,50,40,72,75,88,30,Tuatara,"Although some specimens were revived from fossils, Tuatot oddly resemble its modern-day counterpart. They are referred to as 'living fossils' for this reason.","The parietal eye on its forehead is blind to light but sensitive to psychic wavelengths, detecting intent before an enemy moves.",,Solid Rock,,Brain Jack,
Tuatargon,Rock,Psychic,93,55,85,105,117,40,Tuatara,"Tuatargon are so sedentary that moss grows over their bodies. If they need food, they use their mind-control powers to get other Pokemon to feed them.","The third eye on its head moves and acts independently from the rest of the body. When it is closed, the Pokemon acts completely different.",,Solid Rock,,Brain Jack,
Balite,Flying,Ice,62,43,66,59,78,79,Arctic Bird,"Due to their flight patterns, sailors and fishermen often follow flocks of Balite to find their way back to shore.",They can dive underwater for extended periods of time due to a thick layer of blubber.,,Ancient Guard,,Snow Warning,
Baleet,Flying,Ice,74,72,90,89,87,108,Arctic Guide,Baleet are revered as guardians due to guiding people lost in arctic waters safely back to shore.,Many people make stone carvings of Baleet to give them the luck to always find their way home. ,,Ancient Guard,,Snow Warning,Ice Splinters
Cryocone,Ice,Poison,68,70,106,50,96,19,Poison Snail,"Their shells are fashioned out of ice, but they can use other items as well. Discarded pokemon fossils are a common substitute.","The tips of their tails house a stinger that can easily knock out much bigger pokemon, where they they drag their unconscious bodies into the frigid waters of the arctic to eat.",,Shell Armor,Water Absorb,Poison Touch,
Cryoconda,Ice,Poison,102,106,136,63,122,25,Poison Serpent,They bury themselves in the snow so that only their heads are visible. This behavior is to trick potential prey into thinking they're Cryocone instead.,Legends speak of a Great Cryoconda whose venom was so potent it could necrotize the flesh of gods.,,Shell Armor,Water Absorb,Poison Touch,Icy Harpoon
Cobblin,Rock,,45,60,85,45,85,20,Cobblestone,They work in coordinated teams to ambush travelers and strip them of shiny objects.,"Individually, they are very easy to defeat. However, they can band together to create impassable walls.",,Sand Force,,Berserk,
Grumblock,Rock,,60,95,95,80,95,25,Dwarven,Grumblock's mustache is actually a bioluminescent algae. Both males and females take great pride in the grooming of their facial algae.,"With fists like hydraulic presses, they bore tunnels in search of gems. They understand the concept of currency and trade with humans.",,Sand Force,,Berserk,
Ragnarock,Rock,Fairy,75,110,110,95,120,30,Paladin,The gold ore embedded throughout its body protects it from evil. It can charge its sword with this sacred energy to smite enemies.,"Possessing an unwavering moral compass, Ragnarock frequently intervenes in human conflicts to protect the innocent.",,Sand Force,,Berserk,Divine Smite
Battrey,Electric,Flying,50,64,36,34,43,53,Tazie,Its skin is a specialized rubbery insulator. It can channel high-voltage currents without damaging its internal organs.,"It acts as a living taser, flinging itself at foes to embed its metallic prongs. The discharge leaves it exhausted and vulnerable.",,Inrush Current,Aftermath,Galvanize,
Vladibolt,Electric,Flying,84,115,62,45,77,107,Shocker,"The fangs are actually conductive probes. It bites not to draw blood, but to siphon bio-electricity from its victims.","The chamber on its back contains several chemicals that can react to create natural lightning. Once the chemicals are depleted, Vladibolt can no longer use its electrical powers.",,Inrush Current,Aftermath,Galvanize,
Phalankton,Poison,,125,38,80,65,125,52,Colony,"It's composed of multiple micro-organisms that work together to hold up their umbrella canopy. If they don't work together, the canopy will fall and they'll be burned by the sun.","If a member of the colony gets separated, it will self-replicate and become a second Phalankton.",,Regenerator,Unaware,Dry Skin,
Shardling,Ghost,Rock,32,68,49,45,16,70,Mask,"They say Shardling are the ghosts of people who died underground. The stone is its true body, and its mask is actually a projection.","People have attributed the hollow ambiance of caves and caverns to the wailing of Shardling. If the sound gets louder, it is a bad omen and you should flee.",,No Guard,,Perish Body,
Crucigem,Ghost,Rock,90,140,80,60,50,70,Mask,Crucigem are spectres that only appear before the truly greedy. It dares the wicked into touching the cursed gemstone in its chest.,The red diamond embedded in its chest is its heart. It's warm and faintly pulses. They say those who try to take it will become a Shardling.,,No Guard,,Perish Body,
Scrithymn,Fairy,,57,47,37,97,57,57,Manuscript,"Scrithymn gently float, recording all history it witnesses. It then weaves the history into the words on its scroll-like body.",The words on its body are written in an ancient tongue that many hope to one day understand.,,Cursed Body,Forewarn,,
Blazephemy,Fairy,Fire,77,67,57,157,97,97,Illuminated,Blazephemy appear when the words on Scrithymn become corrupted. It then strikes out at all it considers to be wicked.,The script etched on its body foretells a great apocalypse. It can conjure fire directly from these words.,,Cursed Body,Forewarn,,Anathema
Ceraphinx,Ground,Fairy,95,50,95,80,120,50,Porcelain,"Due to their patience and regal stance, Ceraphinx are mistaken for porcelain sculptures. Many pottery artists try to create art of Ceraphinx to prove their skill.","It bonds spiritually with its owner. If the trainer dies, the Ceraphinx becomes a vessel for a fragment of their soul.",,Vitrified,,,
Censerpent,Poison,Dark,82,60,50,113,110,75,Incense,"It likes to live inside incense pots where it feeds off of the smoke. Different types of incense can change its color, personality, and moves.","Its odor is so powerful, directly inhaling the smoke from its body will cause a person to pass out. They are seen as evil tricksters because of this.",,Malodorous,,,
Roignon,Grass,Fairy,44,75,68,62,32,65,Onion,Roignon hide behind their large shields whenever they're afraid. They must be defended by Scallahad due to their small size.,"Although they're weak, each Roignon dreams of becoming a great knight. They will practice swordplay with small twigs and thorns in their free time.",,Leaf Guard,Stench,Justified,
Scallahad,Grass,Fairy,70,116,81,80,46,113,Onion,Scallahad are small but skilled with the lance. Pokemon who underestimate them due to their size often fail to hit them due to their speed.,"It's full of a pungent odor that causes people to cry. Because of this, it's believed Scallahad's odor wards off evil spirits. It also has many culinary applications.",,Sharpness,Stench,Justified,Crying Edge
Moosenge,Normal,Rock,105,80,105,85,95,35,Druid,Their antlers carry strange magical properties. Ancient humans have made structures in the shape of these antlers to try to gain this power.,"Moosenge will gather in the forest under each full moon without fail. What they do in these meetings, no one knows.",,Circle of Protection,,,
Bitbyte,Electric,,40,20,60,20,60,60,Tech,"Bitbyte have evolved over time to act as perfect human companions. They can record your voice, take notes, and even send and receive messages.","For some reason, Bitbyte always grow slow and sluggish as time goes on. This leads to many trainers trying to trade it for a faster pokemon.",,Regenerator,Electromorphosis,Electric Surge,
Cathogen,Electric,,59,88,84,76,68,66,Electronic,"Cathogen are stronger than their pre-evolution, but are often abandoned due to their ramshackle appearance.","Its processing power is weak and it can only handle one request at a time. If it gets too close to a magnet, it can become permanently damaged.",,Regenerator,Electromorphosis,Electric Surge,
Ramnant,Electric,Ghost,70,121,99,89,81,60,Scrap,Its body is comprised of many different electronic devices. It keeps adding more to itself in hopes of becoming complete.,"To sustain itself, it has to constantly drain electricity from other sources. If desperate, it can absorb the naturally-occurring electricity from a human's body.",,Regenerator,Electromorphosis,Electric Surge,Zombie Process
Ornidrone,Steel,Flying,44,41,71,41,48,60,Drone,It's a common conspiracy theory that Ornidrone were made by the Pokemon League to spy on trainers. This is entirely unfounded.,"Though frail, its optical sensors can read a text message from a mile away. It creates a perfect mental map of its territory.",,Surveil,,Keen Eye,
Velostrike,Steel,Flying,51,60,96,110,76,83,Drone,Aerodynamic plating allows it to break the sound barrier. It resembles a fighter jet more than a bird.,Rapid evolution in urban environments replaced its feathers with lightweight alloys to survive the modern world.,,Surveil,,Keen Eye,
Gunraptor,Steel,Flying,63,71,105,123,89,99,Mecha,"It has abandoned flapping entirely, using ionized plasma thrusters to maneuver. It can hover silently or accelerate instantly.","They are the star of a popular media franchise, Super Gunraptor G7, which includes anime, video games, and model kits. ",,Surveil,,Unburden,
Jellien,Water,Psychic,100,40,60,72,30,26,Jelly,"It drifts aimlessly through the ocean. Recently, scientists have recorded faint brainwave activity—far stronger than any other invertebrate.","Though biologically simple, the strange stone inside it emits subtle psychic pulses that disrupt sonar equipment.",,Hydration,Analytic,Filter,
Encephid,Water,Psychic,120,46,70,98,35,31,Cognito,It was believed that there was little intelligent life at the bottom of the sea before Encephid was discovered. It is deeply interested in humanity.,It has the odd ability to understand all languages perfectly. Some people report that they can almost hear Encephid speaking to them.,,Hydration,Analytic,Filter,
Monolithid,Water,Psychic,165,53,110,124,40,33,Obelisk,"The patterns on Monolithid have appeared throughout history. They hold influence over people, although to what extent we do not know.","Monolithid appear to observe the world in reverse, predicting actions before they occur. People in close proximity to Monolithid start to perceive time non-linearly.",,Hydration,Analytic,Filter,Psycho-Fluid Distortion
Marazcal,Grass,,48,37,37,57,43,73,Agave,"They camp out near agave plants, using their natural camouflage to hide from potential predators.",Herds of Marazcal spend the day sunbathing. They engage in playful wrestling matches to establish dominance.,,Quick Feet,Solar Power,Leaf Guard,
Iguavadon,Grass,Fire,66,57,49,116,99,106,Agave,"Iguavadon bask during the day, using the sun's rays to roast and cook the agave nectar stored in their throat sacs.","The agave nectar they produce is slightly intoxicating, and Iguavadon will run in gangs to keep as much agave to themselves.",,Quick Feet,Solar Power,Leaf Guard,Agave Shot
Tortarma,Fire|Ice,,73,68,111,95,85,20,Tortoise,"During the day, it takes on an aggressive personality to compete for more resources under the scorching desert sun. Its large shell helps dissipate heat.","At night, its shell changes so that it can move faster across the desert. It's able to keep warm by staying active, wandering across the cold desert sands.",Solar|Polar,Magma Armor|Ice Body,,Shell Armor,
Tortality,Fire,Ice,90,75,121,137,92,25,Totality,"Tortality draws its power from the movement of celestial bodies. They can live up to 1,000 years old.","It is theorized that the world is on the back of a giant Tortality, which itself is part of a column of increasingly larger Tortality that continues indefinitely.",,Polarity,,Shell Armor,
Kheprini,Ground,Dark,35,35,60,76,46,26,Pharaoh,Kheprini use the fans on the end of their tails to fan themselves in the desert sun. They take great care to appear flawless.,"In ancient times, they were often venerated and the companions of the elite. Even today, they carry themselves with pride.",,Sheer Force,Trace,Queenly Majesty,
Servankh,Ground,Dark,50,50,95,87,70,30,Pharaoh,Servankh hide their face behind their wings out of shame over their appearance. They will try to appease those in positions of power for their own benefit.,Hieroglyphs depict Servankh guiding souls to the underworld. It is viewed as both a servant and a grim omen.,,Sheer Force,Trace,Queenly Majesty,
Pharomancy,Ground,Dark,65,65,115,134,80,40,Pharaoh,Pharomancy rule through their dominance over dark magic. They only become stronger to gain others' admiration.,"Long ago, Pharomancy ruled over humans and pokemon alike. They were revered as gods for their sorcery.",,Sheer Force,Trace,Queenly Majesty,Pharaoh's Curse
Furnawurm,Steel,Ground,68,139,87,54,92,60,Tremor,"They burrow through the ground, tearing through the Earth. There are a great many natural formations caused by Furnawurm's movements.","It can burn the carbon it consumes to propell itself at high speeds. However, Furnawurm are completely incapable of reversing direction.",,Momentum,Strong Jaw,Speed Boost,
Selky,Water,Ice,101,65,75,103,128,68,Sea Lion,Its horn is made of 'perma-ice' that never melts. Powder from this horn is rumored to cure any ailment.,Selky's appearance has been the source of many claims of mermaid sightings. They are so rare and elusive that the evolution wasn't discovered until recently.,,Thick Fat,Hydration,Life Aurora,
Lumajesty,Water,Electric,135,81,65,102,85,82,Luminant,It's questioned how a pokemon so large can exist so deep within the ocean. There are theories that the immense pressure in the ocean depths trigger Lanturn's evolution.,"The lights on the side of its body are blinding and hypnotic. When it's time to feed, it releases a blinding flash of 500,000 lumens, stunning prey instantly before swallowing them whole.",,Volt Absorb,Illuminate,Water Absorb,Ion Storm
Shuckler,Bug,Steel,35,49,250,10,250,5,Big Mold,"Shuckler can use the acids within its shell to melt down other pokemon's defenses to add to its own armor. They are quite aggressive now, even if their acid is pitifully weak.","Its shell is composed of many natural minerals that have been processed and polished to a fine sheen. Strength-wise, its tougher than most alloy steels.",,Sturdy,Gluttony,Contrary,Shuck
Smeltmor,Fire,Steel,97,101,107,135,81,39,Forge,"A strange reaction while trading caused Smeltmor to fuse with Durant's metal shell. Instead of wanting to eat Durant, they now try to protect their nests.",They see a lot of use in foundries due to their ability to create and control extreme amounts of heat.,,Meltdown,Flash Fire,White Smoke,
Pyrant,Bug,Fire,83,135,76,60,76,130,Foundry,"A strange reaction while trading caused Pyrant's metal shell to melt off. For some reason, they have an appetite for metal and try to eat other Durant.","The stinger on its back is superheated and white-hot. When threatened, it can launch molten metal at enemies.",,Swarm,Metal Eater,Truant,
Patopod,Dragon,Grass,64,41,74,82,30,14,Seed,Its outer layer is a thick seed pod. Patopod eggs are laid in mud so that they can pull nutrients and moisture into their shells easily.,"If its shell is opened prematurely, then Patopod will never be able to evolve into Nymphlora.",,Hydration,Shell Armor,Contrary,
Nymphlora,Dragon,Grass,96,49,41,120,111,56,Lotus,Nymphlora gently float on the surface of flood plains. Its petals are seen as a symbol of purity and enlightenment because they filter toxins from the water.,"It evolved a long neck so that it may reach up above treetops to gather more sunlight. If it is weakened or injured, it will fold up back into its shell.",,Hydration,Serene Grace,Contrary,
Idagon,Fighting,Psychic,78,81,60,24,34,23,Tantrum,"A nightmare for trainers. It screams constantly, its psychic power leaking out in uncontrolled bursts of telekinetic noise.","It possesses immense potential, but is too overwhelmed by its own emotions to focus. It destroys furniture when denied food.",,Hustle,,Scrappy,
Libradon,Fighting,Psychic,93,80,67,99,79,32,Balanced,The dots on Libradon's shell are sensors that act as its eyes. They stop glowing when the pokemon is asleep.,Calm and cooperative. It mediates conflicts between other Pokemon using soothing psychic waves.,,Neuroforce,,Scrappy,
Suprion,Fighting,Psychic,136,82,97,134,116,35,Superego,"To become stronger, Suprion have pruned away all parts of its personality it considers to be a weakness. The result is a perfect battling machine.",Suprion will only pretend to be friendly toward its trainer if it calculates the relationship as being advantageous. It has no true emotions and acts purely off of logic.,,Neuroforce,,Scrappy,Ego Crush
Larvos,Bug,,35,54,73,61,47,30,Sickly,It burrows into the ground and absorbs natural energy from the planet to fuel its growth.,"When it absorbs too much energy, the excess energy will burst through Larvos's body and crystallize. The pokemon is almost always in slight discomfort.",,Parasitoid,,,
Syrinsect,Bug,Dragon,55,110,48,85,47,105,Injector,It evolved a stinger that can sap as well as release energy. An injection is so concentrated with energy that it's lethal to most pokemon.,"Syrinsect's shell is hardened because it is completely liquefied inside. If its shell breaks, it dies instantly.",,Parasitoid,,,
Stratoclysm,Bug,Dragon,81,137,68,107,68,139,Devourer,A Stratoclysm's size is determined by how much energy it absorbed in its life. It's possible for one to grow to the size of a planet.,"Due to its sheer power and parasitic tendencies, some people think it might be an alien lifeform trying to sap energy from the planet.",,Parasitoid,,,Supernova
Paracabra,Dark,Ghost,98,140,90,70,70,102,Impossible,"It is endlessly hungry. When its jaws close on a living creature, it consumes their life-force directly, leaving only a strange mark in its wake.",Its head is fake and feels no sensations. It uses this fake head to try and fool others into thinking its another Pokemon instead.,,Decay,,,Devouring Jaws
Saskrypt,Poison,Ghost,110,100,115,80,100,65,Impossible,"Sascrypt's face is false, and it instead sees with the red growths on the end of its arms. ",Its footprints leave an invisible poison that should be avoided at all costs. Cameras that attempt to photograph it instead only film strange white particles.,,Decay,,,Landscape of Thorns
Devile,Flying,Ghost,45,100,75,115,100,135,Impossible,Devile is usually spotted as a dark shadow flying at night. It lets out an unearthly howl that no living creature should make.,"The red orb in the center is Devile's true body, while the rest is actually a shadow. If it is dark enough, Devile's body can become infinite in size.",,Decay,,,Gales of Darkness
Azamoth,Bug,Ghost,70,60,100,125,130,85,Impossible,"Wherever it appears, a catastrophe happens. The more people believe it causes disasters, the more powerful it becomes.","Its red eyes on its wings are its actual form, and its ""body"" is an empty husk. Its gaze appears to follow every observer, each person insisting it’s looking directly at them.",,Decay,,,Foretell Calamity
Albythos,Ground,Dragon,120,150,140,70,80,120,Terrestrial,"Long ago, people's faith gave birth to Albythos as a guardian of the planet. Its power is tied to how much humans revere it.","Its roar can halt earthquakes and volcanoes. Wherever it walks, ancient plants bloom.",,Weight of the World,,,
Xerasige,Psychic,Dragon,120,70,80,150,140,120,Astral,"When a cataclysmic storm miraculously broke, people believed it was because a legendary dragon protected them. This was the birth of Xerasige.","It has a protective aura that calms the skies and seas. When lost, people can look to the stars for it to guide them.",,Cry of the Cosmos,,,
Jeneosis,Fairy,Ghost,70,150,80,150,80,150,False One,"It is a manifestation of people's beliefs that suffering is part of the human condition. As long as humanity holds this to be true, Jeneosis will continue to exist.","Its body is merely a physical manifestation of humanity's deepest feelings. If defeated, it will return again with a new form.",,Dominion,,,
Xophis,Fairy,Dragon,100,100,100,100,100,100,Possibility,It is composed entirely of pure energy. Whatever form it will take in the future depends on the feelings of those around it.,"When they fly through the cosmos, people often mistake them for shooting stars and make a wish. If they believe enough, the wish will come true.",,Manifestation,,,
Ravenger,Electric,Steel,70,125,70,125,85,125,Cyber,"The technology embedded in its body is so sufficiently advanced, it would take humans 100 years of technological development to recreate it.",It fights with a dark determination. Its believed it came from the future to prevent a terrible cataclysm from occuring.,,Technician,,,
Sacrabell,Dark|Fairy,,100|100,70|70,100|120,70|170,160|150,100|70,Knell,"It tries to protect its bell with all its might. It's said that if its bell rings, the sun will scorch the earth for 1,000 years.","The bell was originally made to absorb the negative emotions of humans. Over time, it became too charged with power and Sacrabell was sealed away.",Hymn|Dirge,Bell of Ruin,,,
